gene_id,gene_name,qualifier,go_id,reference,evidence_code,go_aspect,full_name,synonyms,object_type,date,source
S000003766,POL31,enables,GO:0003677,GO_REF:0000002,IEA,F,Subunit of DNA polymerase delta (polymerase III),YJR006W|HYS2|HUS2|SDP5|DNA-directed DNA polymerase delta subunit POL31,protein,20210410,InterPro
S000003766,POL31,enables,GO:0003887,GO_REF:0000003,IEA,F,Subunit of DNA polymerase delta (polymerase III),YJR006W|HYS2|HUS2|SDP5|DNA-directed DNA polymerase delta subunit POL31,protein,20210410,UniProt
S000000263,AKL1,enables,GO:0005524,GO_REF:0000043,IEA,F,Ser/Thr protein kinase,YBR059C|serine/threonine protein kinase AKL1,protein,20210410,UniProt
S000000263,AKL1,enables,GO:0016301,GO_REF:0000043,IEA,F,Ser/Thr protein kinase,YBR059C|serine/threonine protein kinase AKL1,protein,20210410,UniProt
S000000263,AKL1,enables,GO:0016740,GO_REF:0000043,IEA,F,Ser/Thr protein kinase,YBR059C|serine/threonine protein kinase AKL1,protein,20210410,UniProt
S000000263,AKL1,involved_in,GO:0006468,GO_REF:0000002,IEA,P,Ser/Thr protein kinase,YBR059C|serine/threonine protein kinase AKL1,protein,20210410,InterPro
S000000263,AKL1,involved_in,GO:0006468,GO_REF:0000002,IEA,P,Ser/Thr protein kinase,YBR059C|serine/threonine protein kinase AKL1,protein,20210410,InterPro
S000000263,AKL1,involved_in,GO:0016310,GO_REF:0000043,IEA,P,Ser/Thr protein kinase,YBR059C|serine/threonine protein kinase AKL1,protein,20210410,UniProt
S000000260,MRX18,enables,GO:0016787,GO_REF:0000043,IEA,F,Putative glycoside hydrolase of the mitochondrial intermembrane space,YBR056W|17-beta-hydroxysteroid dehydrogenase-like protein,protein,20210410,UniProt
S000000260,MRX18,enables,GO:0016798,GO_REF:0000043,IEA,F,Putative glycoside hydrolase of the mitochondrial intermembrane space,YBR056W|17-beta-hydroxysteroid dehydrogenase-like protein,protein,20210410,UniProt
S000000943,COX15,located_in,GO:0005743,GO_REF:0000044,IEA,C,Heme a synthase,YER141W,protein,20210410,UniProt
S000000943,COX15,located_in,GO:0016020,GO_REF:0000002,IEA,C,Heme a synthase,YER141W,protein,20210410,InterPro
S000000943,COX15,located_in,GO:0016020,GO_REF:0000043,IEA,C,Heme a synthase,YER141W,protein,20210410,UniProt
S000000943,COX15,located_in,GO:0016021,GO_REF:0000002,IEA,C,Heme a synthase,YER141W,protein,20210410,InterPro
S000000943,COX15,located_in,GO:0016021,GO_REF:0000043,IEA,C,Heme a synthase,YER141W,protein,20210410,UniProt
S000000945,DDI1,enables,GO:0004190,GO_REF:0000002,IEA,F,DNA damage-inducible v-SNARE binding protein,YER143W|VSM1,protein,20210410,InterPro
S000000945,DDI1,enables,GO:0004190,GO_REF:0000002,IEA,F,DNA damage-inducible v-SNARE binding protein,YER143W|VSM1,protein,20210410,InterPro
S000000945,DDI1,enables,GO:0004190,GO_REF:0000043,IEA,F,DNA damage-inducible v-SNARE binding protein,YER143W|VSM1,protein,20210410,UniProt
S000000270,NRG2,enables,GO:0046872,GO_REF:0000043,IEA,F,Transcriptional repressor,YBR066C,protein,20210410,UniProt
S000000270,NRG2,located_in,GO:0005634,GO_REF:0000043,IEA,C,Transcriptional repressor,YBR066C,protein,20210410,UniProt
S000000270,NRG2,located_in,GO:0005634,GO_REF:0000044,IEA,C,Transcriptional repressor,YBR066C,protein,20210410,UniProt
S000000267,YBR063C,located_in,GO:0016020,GO_REF:0000043,IEA,C,Putative protein of unknown function,YBR063C,protein,20210410,UniProt
S000000267,YBR063C,located_in,GO:0016020,GO_REF:0000044,IEA,C,Putative protein of unknown function,YBR063C,protein,20210410,UniProt
S000000267,YBR063C,located_in,GO:0016021,GO_REF:0000043,IEA,C,Putative protein of unknown function,YBR063C,protein,20210410,UniProt
S000001311,DFG10,enables,GO:0102389,GO_REF:0000003,IEA,F,Probable polyprenol reductase,YIL049W|putative polyprenol reductase,protein,20210410,UniProt
S000000272,BAP2,located_in,GO:0016020,GO_REF:0000043,IEA,C,High-affinity leucine permease,YBR068C|branched-chain amino acid permease BAP2,protein,20210410,UniProt
S000000273,TAT1,located_in,GO:0016021,GO_REF:0000002,IEA,C,"Amino acid transporter for valine, leucine, isoleucine, and tyrosine",YBR069C|TAP1|VAP1|amino acid transporter TAT1,protein,20210410,InterPro
S000000273,TAT1,located_in,GO:0016021,GO_REF:0000002,IEA,C,"Amino acid transporter for valine, leucine, isoleucine, and tyrosine",YBR069C|TAP1|VAP1|amino acid transporter TAT1,protein,20210410,InterPro
S000000277,RDH54,enables,GO:0003678,GO_REF:0000003,IEA,F,DNA-dependent ATPase,YBR073W|TID1|DNA-dependent ATPase RDH54,protein,20210410,UniProt
S000000277,RDH54,enables,GO:0004386,GO_REF:0000043,IEA,F,DNA-dependent ATPase,YBR073W|TID1|DNA-dependent ATPase RDH54,protein,20210410,UniProt
S000000277,RDH54,enables,GO:0005524,GO_REF:0000002,IEA,F,DNA-dependent ATPase,YBR073W|TID1|DNA-dependent ATPase RDH54,protein,20210410,InterPro
S000000325,GRS1,enables,GO:0004820,GO_REF:0000003,IEA,F,Cytoplasmic and mitochondrial glycyl-tRNA synthase,YBR121C|glycine--tRNA ligase,protein,20210410,UniProt
S000000325,GRS1,enables,GO:0005524,GO_REF:0000002,IEA,F,Cytoplasmic and mitochondrial glycyl-tRNA synthase,YBR121C|glycine--tRNA ligase,protein,20210410,InterPro
S000000325,GRS1,enables,GO:0005524,GO_REF:0000043,IEA,F,Cytoplasmic and mitochondrial glycyl-tRNA synthase,YBR121C|glycine--tRNA ligase,protein,20210410,UniProt
S000000325,GRS1,enables,GO:0016740,GO_REF:0000043,IEA,F,Cytoplasmic and mitochondrial glycyl-tRNA synthase,YBR121C|glycine--tRNA ligase,protein,20210410,UniProt
S000000325,GRS1,enables,GO:0016874,GO_REF:0000043,IEA,F,Cytoplasmic and mitochondrial glycyl-tRNA synthase,YBR121C|glycine--tRNA ligase,protein,20210410,UniProt
S000000325,GRS1,involved_in,GO:0006412,GO_REF:0000043,IEA,P,Cytoplasmic and mitochondrial glycyl-tRNA synthase,YBR121C|glycine--tRNA ligase,protein,20210410,UniProt
S000000325,GRS1,involved_in,GO:0006426,GO_REF:0000002,IEA,P,Cytoplasmic and mitochondrial glycyl-tRNA synthase,YBR121C|glycine--tRNA ligase,protein,20210410,InterPro
S000000325,GRS1,located_in,GO:0005737,GO_REF:0000002,IEA,C,Cytoplasmic and mitochondrial glycyl-tRNA synthase,YBR121C|glycine--tRNA ligase,protein,20210410,InterPro
S000000260,MRX18,involved_in,GO:0008152,GO_REF:0000043,IEA,P,Putative glycoside hydrolase of the mitochondrial intermembrane space,YBR056W|17-beta-hydroxysteroid dehydrogenase-like protein,protein,20210410,UniProt
S000000260,MRX18,located_in,GO:0005739,GO_REF:0000043,IEA,C,Putative glycoside hydrolase of the mitochondrial intermembrane space,YBR056W|17-beta-hydroxysteroid dehydrogenase-like protein,protein,20210410,UniProt
S000000325,GRS1,located_in,GO:0005737,GO_REF:0000043,IEA,C,Cytoplasmic and mitochondrial glycyl-tRNA synthase,YBR121C|glycine--tRNA ligase,protein,20210410,UniProt
S000000325,GRS1,located_in,GO:0005737,GO_REF:0000044,IEA,C,Cytoplasmic and mitochondrial glycyl-tRNA synthase,YBR121C|glycine--tRNA ligase,protein,20210410,UniProt
S000000325,GRS1,located_in,GO:0005739,GO_REF:0000043,IEA,C,Cytoplasmic and mitochondrial glycyl-tRNA synthase,YBR121C|glycine--tRNA ligase,protein,20210410,UniProt
S000000325,GRS1,located_in,GO:0005759,GO_REF:0000044,IEA,C,Cytoplasmic and mitochondrial glycyl-tRNA synthase,YBR121C|glycine--tRNA ligase,protein,20210410,UniProt
S000000329,PTC4,enables,GO:0004721,GO_REF:0000043,IEA,F,Cytoplasmic type 2C protein phosphatase (PP2C),YBR125C|GCT1|type 2C protein phosphatase PTC4,protein,20210410,UniProt
S000000260,MRX18,located_in,GO:0005758,GO_REF:0000044,IEA,C,Putative glycoside hydrolase of the mitochondrial intermembrane space,YBR056W|17-beta-hydroxysteroid dehydrogenase-like protein,protein,20210410,UniProt
S000000270,NRG2,enables,GO:0003677,GO_REF:0000043,IEA,F,Transcriptional repressor,YBR066C,protein,20210410,UniProt
S000000343,ATG42,involved_in,GO:0006508,GO_REF:0000043,IEA,P,Vacuolar serine-type carboxypeptidase,YBR139W|carboxypeptidase C,protein,20210410,UniProt
S000000184,TEL1,enables,GO:0000166,GO_REF:0000043,IEA,F,Protein kinase primarily involved in telomere length regulation,YBL088C|DNA-binding protein kinase TEL1,protein,20210410,UniProt
S000000184,TEL1,enables,GO:0004674,GO_REF:0000002,IEA,F,Protein kinase primarily involved in telomere length regulation,YBL088C|DNA-binding protein kinase TEL1,protein,20210410,InterPro
S000000184,TEL1,enables,GO:0004674,GO_REF:0000002,IEA,F,Protein kinase primarily involved in telomere length regulation,YBL088C|DNA-binding protein kinase TEL1,protein,20210410,InterPro
S000000184,TEL1,enables,GO:0004674,GO_REF:0000002,IEA,F,Protein kinase primarily involved in telomere length regulation,YBL088C|DNA-binding protein kinase TEL1,protein,20210410,InterPro
S000000184,TEL1,enables,GO:0004674,GO_REF:0000043,IEA,F,Protein kinase primarily involved in telomere length regulation,YBL088C|DNA-binding protein kinase TEL1,protein,20210410,UniProt
S000001301,TED1,enables,GO:0016787,GO_REF:0000002,IEA,F,GPI-glycan remodelase,YIL039W,protein,20210410,InterPro
S000000329,PTC4,enables,GO:0004722,GO_REF:0000002,IEA,F,Cytoplasmic type 2C protein phosphatase (PP2C),YBR125C|GCT1|type 2C protein phosphatase PTC4,protein,20210410,InterPro
