gene_id,gene_name,full_name,qualifier,go_id,evidence,go_aspect,synonyms,date,assigned_by
S000000307,SIF2,WD40 repeat-containing subunit of Set3C histone deacetylase complex,involved_in,GO:0006357,IBA,P,YBR103W|EMB1,20170228,GO_Central
S000005111,SKO1,Basic leucine zipper transcription factor of the ATF/CREB family,involved_in,GO:0006357,IBA,P,YNL167C|ACR1,20200930,GO_Central
S000005274,RPD3,"Histone deacetylase, component of both the Rpd3S and Rpd3L complexes",involved_in,GO:0045944,IBA,P,YNL330C|MOF6|REC3|SDI2|SDS6|histone deacetylase RPD3,20180703,GO_Central
S000000253,REB1,RNA polymerase I enhancer binding protein,enables,GO:0003700,IBA,F,YBR049C|GRF2|DNA-binding protein REB1|EBF1,20200911,GO_Central
S000000162,SEF1,Putative transcription factor,involved_in,GO:0006355,IBA,P,YBL066C,20200809,GO_Central
S000003041,HSF1,Trimeric heat shock transcription factor,enables,GO:0003700,IBA,F,YGL073W|EXA3|MAS3|stress-responsive transcription factor HSF1,20201204,GO_Central
S000001488,BYE1,Negative regulator of transcription elongation,involved_in,GO:0000122,IBA,P,YKL005C,20190312,GO_Central
S000003908,HMS2,Protein with similarity to heat shock transcription factors,involved_in,GO:0006357,IBA,P,YJR147W,20200929,GO_Central
S000002599,HST4,NAD(+)-dependent protein deacetylase,involved_in,GO:0000122,IBA,P,YDR191W|NAD-dependent histone deacetylase HST4,20180419,GO_Central
S000004618,SOK2,Nuclear protein that negatively regulates pseudohyphal differentiation,enables,GO:0003700,IBA,F,YMR016C,20170228,GO_Central
S000003995,SSL1,Subunit of the core form of RNA polymerase transcription factor TFIIH,involved_in,GO:0006357,IBA,P,YLR005W|TFIIH/NER complex subunit SSL1,20170228,GO_Central
S000006010,RLM1,MADS-box transcription factor,involved_in,GO:0006357,IBA,P,YPL089C,20200908,GO_Central
S000005720,TOA1,TFIIA large subunit,involved_in,GO:0006366,IBA,P,YOR194C|transcription initiation factor IIA large subunit,20200930,GO_Central
S000005816,SNF2,Catalytic subunit of the SWI/SNF chromatin remodeling complex,involved_in,GO:0045944,IBA,P,YOR290C|GAM1|HAF1|SWI2|TYE3|SWI/SNF catalytic subunit SNF2,20190308,GO_Central
S000004646,MCM1,Transcription factor,involved_in,GO:0006357,IBA,P,YMR043W|FUN80|transcription factor MCM1,20200911,GO_Central
S000002433,NSI1,RNA polymerase I termination factor,involved_in,GO:0006355,IBA,P,YDR026C|YTT1,20200911,GO_Central
S000001249,SKN7,Nuclear response regulator and transcription factor,enables,GO:0003700,IBA,F,YHR206W|BRY1|POS9|kinase-regulated stress-responsive transcription factor SKN7,20201204,GO_Central
S000002624,ADR1,Carbon source-responsive zinc-finger transcription factor,involved_in,GO:0006357,IBA,P,YDR216W|DNA-binding transcription factor ADR1,20200930,GO_Central
S000002805,NCB2,Subunit of a heterodimeric NC2 transcription regulator complex,involved_in,GO:0045944,IBA,P,YDR397C|YDR1|negative cofactor 2 transcription regulator complex subunit NCB2,20200810,GO_Central
S000003639,GSM1,Putative zinc cluster protein of unknown function,enables,GO:0003700,IBA,F,YJL103C,20200810,GO_Central
S000004365,VID22,Glycosylated integral membrane protein localized to plasma membrane,involved_in,GO:0006357,IBA,P,YLR373C,20200907,GO_Central
S000004121,ACE2,Transcription factor required for septum destruction after cytokinesis,involved_in,GO:0006357,IBA,P,YLR131C|DNA-binding transcription factor ACE2,20200930,GO_Central
S000000961,BUR6,Subunit of a heterodimeric NC2 transcription regulator complex,involved_in,GO:0006366,IBA,P,YER159C|NCB1|negative cofactor 2 transcription regulator complex subunit BUR6,20200929,GO_Central
S000003502,YTA7,Chromatin-binding ATPase that regulates histone gene expression,involved_in,GO:0045944,IBA,P,YGR270W,20170228,GO_Central
S000000397,MED8,Subunit of the RNA polymerase II mediator complex,involved_in,GO:0006357,IBA,P,YBR193C,20170228,GO_Central
S000001019,RIM101,Cys2His2 zinc-finger transcriptional repressor,involved_in,GO:0045944,IBA,P,YHL027W|RIM1|alkaline-responsive transcriptional regulator RIM101,20180413,GO_Central
S000001930,PHO4,Basic helix-loop-helix (bHLH) transcription factor of the myc-family,involved_in,GO:0006357,IBA,P,YFR034C|phoD|phosphate-sensing transcription factor PHO4,20201205,GO_Central
S000003223,FZF1,Transcription factor involved in sulfite metabolism,involved_in,GO:0006357,IBA,P,YGL254W|NRC299|RSU1|SUL1,20200724,GO_Central
S000003221,RTG2,Sensor of mitochondrial dysfunction,involved_in,GO:0006357,IBA,P,YGL252C,20170228,GO_Central
S000004470,SPT5,Spt4p/5p (DSIF) transcription elongation factor complex subunit,involved_in,GO:0006357,IBA,P,YML010W|transcription elongation factor SPT5,20201023,GO_Central
S000005865,YOR338W,Putative protein of unknown function,involved_in,GO:0006357,IBA,P,YOR338W,20170228,GO_Central
S000005667,ARP8,Nuclear actin-related protein involved in chromatin remodeling,involved_in,GO:0006355,IBA,P,YOR141C,20190301,GO_Central
S000005047,MET4,Leucine-zipper transcriptional activator,enables,GO:0001228,IBA,F,YNL103W,20200319,GO_Central
S000003888,RSF2,Zinc-finger protein,involved_in,GO:0006357,IBA,P,YJR127C|ZMS1,20201216,GO_Central
S000002553,SWI5,Transcription factor that recruits Mediator and Swi/Snf complexes,involved_in,GO:0006357,IBA,P,YDR146C|DNA-binding transcription factor SWI5,20200930,GO_Central
S000002805,NCB2,Subunit of a heterodimeric NC2 transcription regulator complex,involved_in,GO:0000122,IBA,P,YDR397C|YDR1|negative cofactor 2 transcription regulator complex subunit NCB2,20180115,GO_Central
S000006229,CCL1,Cyclin partner of the cyclin-dependent kinase (CDK) Kin28p,involved_in,GO:0006357,IBA,P,YPR025C|TFIIH complex kinase subunit CCL1,20180910,GO_Central
S000002868,TFB3,Subunit of TFIIH and nucleotide excision repair factor 3 complexes,involved_in,GO:0006357,IBA,P,YDR460W|RIG2|TFIIH/NER complex subunit TFB3,20170228,GO_Central
S000005012,FKH2,Forkhead family transcription factor,involved_in,GO:0006357,IBA,P,YNL068C|forkhead family transcription factor FKH2,20200908,GO_Central
S000002859,YHP1,Homeobox transcriptional repressor,involved_in,GO:0006357,IBA,P,YDR451C,20200925,GO_Central
S000005004,ARP5,Nuclear actin-related protein involved in chromatin remodeling,involved_in,GO:0006355,IBA,P,YNL059C,20190301,GO_Central
S000001393,FKH1,Forkhead family transcription factor,involved_in,GO:0006357,IBA,P,YIL131C|forkhead family transcription factor FKH1,20201024,GO_Central
S000004646,MCM1,Transcription factor,involved_in,GO:0045944,IBA,P,YMR043W|FUN80|transcription factor MCM1,20200911,GO_Central
S000004559,GIM5,Subunit of the heterohexameric cochaperone prefoldin complex,involved_in,GO:0006355,IBA,P,YML094W|PFD5,20200808,GO_Central
S000004218,ECM22,Sterol regulatory element binding protein,involved_in,GO:0006357,IBA,P,YLR228C,20201002,GO_Central
S000000973,RAD3,5' to 3' DNA helicase,involved_in,GO:0006366,IBA,P,YER171W|REM1|TFIIH/NER complex ATP-dependent 5'-3' DNA helicase subunit RAD3,20180220,GO_Central
S000000117,HAP3,Subunit of the Hap2p/3p/4p/5p CCAAT-binding complex,involved_in,GO:0006357,IBA,P,YBL021C,20200909,GO_Central
S000002246,ASM4,FG-nucleoporin component of central core of nuclear pore complex (NPC),involved_in,GO:0006355,IBA,P,YDL088C|NUP59|FG-nucleoporin ASM4,20170228,GO_Central
S000003119,NUT1,Component of the RNA polymerase II mediator complex,involved_in,GO:0006357,IBA,P,YGL151W|MED5|SSX4,20170228,GO_Central
S000002871,STP1,Transcription factor,involved_in,GO:0006357,IBA,P,YDR463W|BAP1|SSY2,20200908,GO_Central
S000002631,CRF1,Transcriptional corepressor,involved_in,GO:0006357,IBA,P,YDR223W,20200809,GO_Central
S000000287,TEC1,Transcription factor targeting filamentation genes and Ty1 expression,involved_in,GO:0006357,IBA,P,YBR083W|ROC1,20200908,GO_Central
S000004367,STP3,Zinc-finger protein of unknown function,involved_in,GO:0006357,IBA,P,YLR375W,20210102,GO_Central
S000002624,ADR1,Carbon source-responsive zinc-finger transcription factor,enables,GO:0001228,IBA,F,YDR216W|DNA-binding transcription factor ADR1,20200930,GO_Central
S000004968,FAP1,Protein that binds to Fpr1p,involved_in,GO:0006355,IBA,P,YNL023C,20190319,GO_Central
S000005364,SIN3,Component of both the Rpd3S and Rpd3L histone deacetylase complexes,involved_in,GO:0000122,IBA,P,YOL004W|CPE1|GAM2|RPD1|SDI1|SDS16|UME4|transcriptional regulator SIN3,20170228,GO_Central
S000000635,MATALPHA2,Homeobox-domain protein,involved_in,GO:0006357,IBA,P,YCR039C|ALPHA2|homeodomain mating type protein alpha2,20200929,GO_Central
S000000572,HMLALPHA2,Silenced copy of ALPHA2 at HML,involved_in,GO:0006357,IBA,P,YCL067C|ALPHA2|homeodomain mating type protein alpha2,20200929,GO_Central
S000000692,HMRA2,Silenced copy of a2 at HMR,involved_in,GO:0006357,IBA,P,YCR096C|A2|homeodomain mating type protein a2,20200929,GO_Central
S000000961,BUR6,Subunit of a heterodimeric NC2 transcription regulator complex,involved_in,GO:0045944,IBA,P,YER159C|NCB1|negative cofactor 2 transcription regulator complex subunit BUR6,20200605,GO_Central
S000001249,SKN7,Nuclear response regulator and transcription factor,involved_in,GO:0006357,IBA,P,YHR206W|BRY1|POS9|kinase-regulated stress-responsive transcription factor SKN7,20200929,GO_Central
S000004794,RGM1,Putative zinc finger DNA binding transcription factor,involved_in,GO:0006357,IBA,P,YMR182C,20200930,GO_Central
S000028510,SUS1,Component of both the SAGA histone acetylase and TREX-2 complexes,involved_in,GO:0006357,IBA,P,YBR111W-A,20170228,GO_Central
S000002264,PHO2,Homeobox transcription factor,involved_in,GO:0006357,IBA,P,YDL106C|phoB|BAS2|GRF10,20200925,GO_Central
S000004846,TRI1,Non-essential sumoylated protein of unknown function,involved_in,GO:0006357,IBA,P,YMR233W,20200618,GO_Central
S000002935,RBA50,Protein involved in transcription,involved_in,GO:0006366,IBA,P,YDR527W,20170228,GO_Central
S000002583,NGG1,Subunit of chromatin modifying histone acetyltransferase complexes,involved_in,GO:0006357,IBA,P,YDR176W|ADA3|SWI7|histone acetyltransferase NGG1,20170228,GO_Central
S000004636,ARP9,Component of both the SWI/SNF and RSC chromatin remodeling complexes,involved_in,GO:0006357,IBA,P,YMR033W|RSC12|SWP59,20200227,GO_Central
