assembly_id,annotation_type,species_name,gff3_archive_path,pep_archive_path,cds_archive_path,genome_archive_path,is_reference
yHMPu5000035281_trigonopsis_cantarellii_170307,final,Trigonopsis cantarellii,y1000p_gff3_files/yHMPu5000035281_trigonopsis_cantarellii_170307.final.gff3,y1000p_pep_files/yHMPu5000035281_trigonopsis_cantarellii_170307.final.pep,y1000p_cds_files/yHMPu5000035281_trigonopsis_cantarellii_170307.final.cds.tar.gz,y1000p_genome_files/yHMPu5000035281_trigonopsis_cantarellii_170307.fas.gz,False
yHMPu5000035282_trigonopsis_vinaria_170307,final,Trigonopsis vinaria,y1000p_gff3_files/yHMPu5000035282_trigonopsis_vinaria_170307.final.gff3,y1000p_pep_files/yHMPu5000035282_trigonopsis_vinaria_170307.final.pep,y1000p_cds_files/yHMPu5000035282_trigonopsis_vinaria_170307.final.cds.tar.gz,y1000p_genome_files/yHMPu5000035282_trigonopsis_vinaria_170307.fas.gz,False
yHMPu5000035283_wickerhamiella_lipophila_170713,final,Wickerhamiella lipophila,y1000p_gff3_files/yHMPu5000035283_wickerhamiella_lipophila_170713.final.gff3,y1000p_pep_files/yHMPu5000035283_wickerhamiella_lipophila_170713.final.pep,y1000p_cds_files/yHMPu5000035283_wickerhamiella_lipophila_170713.final.cds.tar.gz,y1000p_genome_files/yHMPu5000035283_wickerhamiella_lipophila_170713.fas.gz,False
yHMPu5000035284_wickerhamiella_occidentalis_170713,final,Wickerhamiella occidentalis,y1000p_gff3_files/yHMPu5000035284_wickerhamiella_occidentalis_170713.final.gff3,y1000p_pep_files/yHMPu5000035284_wickerhamiella_occidentalis_170713.final.pep,y1000p_cds_files/yHMPu5000035284_wickerhamiella_occidentalis_170713.final.cds.tar.gz,y1000p_genome_files/yHMPu5000035284_wickerhamiella_occidentalis_170713.fas.gz,False
yHMPu5000035285_Candida_alocasiicola_SPADES,final,Candida alocasiicola SPADES,y1000p_gff3_files/yHMPu5000035285_Candida_alocasiicola_SPADES.final.gff3,y1000p_pep_files/yHMPu5000035285_Candida_alocasiicola_SPADES.final.pep,y1000p_cds_files/yHMPu5000035285_Candida_alocasiicola_SPADES.final.cds.tar.gz,y1000p_genome_files/yHMPu5000035285_Candida_alocasiicola_SPADES.fas.gz,False
yHMPu5000035286_candida_azyma_170307,final,Candida azyma,y1000p_gff3_files/yHMPu5000035286_candida_azyma_170307.final.gff3,y1000p_pep_files/yHMPu5000035286_candida_azyma_170307.final.pep,y1000p_cds_files/yHMPu5000035286_candida_azyma_170307.final.cds.tar.gz,y1000p_genome_files/yHMPu5000035286_candida_azyma_170307.fas.gz,False
yHMPu5000035287_candida_bombiphila_160928,final,Candida bombiphila,y1000p_gff3_files/yHMPu5000035287_candida_bombiphila_160928.final.gff3,y1000p_pep_files/yHMPu5000035287_candida_bombiphila_160928.final.pep,y1000p_cds_files/yHMPu5000035287_candida_bombiphila_160928.final.cds.tar.gz,y1000p_genome_files/yHMPu5000035287_candida_bombiphila_160928.fas.gz,False
yHMPu5000035289_candida_infanticola_170713,final,Candida infanticola,y1000p_gff3_files/yHMPu5000035289_candida_infanticola_170713.final.gff3,y1000p_pep_files/yHMPu5000035289_candida_infanticola_170713.final.pep,y1000p_cds_files/yHMPu5000035289_candida_infanticola_170713.final.cds.tar.gz,y1000p_genome_files/yHMPu5000035289_candida_infanticola_170713.fas.gz,False
yHMPu5000035290_candida_vaccinii_170307,final,Candida vaccinii,y1000p_gff3_files/yHMPu5000035290_candida_vaccinii_170307.final.gff3,y1000p_pep_files/yHMPu5000035290_candida_vaccinii_170307.final.pep,y1000p_cds_files/yHMPu5000035290_candida_vaccinii_170307.final.cds.tar.gz,y1000p_genome_files/yHMPu5000035290_candida_vaccinii_170307.fas.gz,False
yHMPu5000035291_candida_riodocensis_170307,final,Candida riodocensis,y1000p_gff3_files/yHMPu5000035291_candida_riodocensis_170307.final.gff3,y1000p_pep_files/yHMPu5000035291_candida_riodocensis_170307.final.pep,y1000p_cds_files/yHMPu5000035291_candida_riodocensis_170307.final.cds.tar.gz,y1000p_genome_files/yHMPu5000035291_candida_riodocensis_170307.fas.gz,False
yHMPu5000035292_sporopachydermia_cereana_201018,final,Sporopachydermia cereana,y1000p_gff3_files/yHMPu5000035292_sporopachydermia_cereana_201018.haplomerger2.final.gff3,y1000p_pep_files/yHMPu5000035292_sporopachydermia_cereana_201018.haplomerger2.final.pep,y1000p_cds_files/yHMPu5000035292_sporopachydermia_cereana_201018.haplomerger2.final.cds.tar.gz,y1000p_genome_files/yHMPu5000035292_sporopachydermia_cereana_201018.haplomerger2.fas.gz,False
yHMPu5000035293_saturnispora_diversa_170307,final,Saturnispora diversa,y1000p_gff3_files/yHMPu5000035293_saturnispora_diversa_170307.final.gff3,y1000p_pep_files/yHMPu5000035293_saturnispora_diversa_170307.final.pep,y1000p_cds_files/yHMPu5000035293_saturnispora_diversa_170307.final.cds.tar.gz,y1000p_genome_files/yHMPu5000035293_saturnispora_diversa_170307.fas.gz,False
yHMPu5000035294_candida_fermenticarens_170307,final,Candida fermenticarens,y1000p_gff3_files/yHMPu5000035294_candida_fermenticarens_170307.final.gff3,y1000p_pep_files/yHMPu5000035294_candida_fermenticarens_170307.final.pep,y1000p_cds_files/yHMPu5000035294_candida_fermenticarens_170307.final.cds.tar.gz,y1000p_genome_files/yHMPu5000035294_candida_fermenticarens_170307.fas.gz,False
